"Ekstern finansering - Overblik, årshjul og tematikker",,,,,,,,,,,,,,,,,,
Fond,Link:,Stikord,Deadline. Ansøgning,Størrelse,Ansøgt om,Techcollege. Tidligere og eksisterende projekter,Attraktive EUD,Trivsel,"Bæredygtighed, Demokrati",STEM,Iværksætteri,Byggebranchen,Fællesskab,"Teknologi, digitalisering og markedsføring",Grøn omstilling,Anlægsprojekter,Piger i EUD/STEM,Viden og uddannelse
"PULJER: Region Nordjylland, UVM, EU",,,,,,,,,,,,,,,,,,
Region nordjylland uddannelsespulje,https://rn.dk/regional-udvikling/uddannelse-og-kompetence/uddannelsespuljen,"Udviklingsinitiativer og -projekter på de nordjyske ungdomsuddannelser. 4 tematikker. 2 tuper af projekter: størrer projekter typisk på op til ca. 2 mio. og en forsøgs og afprøvningspulje, hvor der kan søges om mindre projekter på op til 100.000 kr.",3. januar 2025,100.000-2mio.(kan dog være stører),FNs verdensmål + Livsduelighed feb 2021,"Livsduelighed, EUX Fagsynergier, Hurtig indsats til trivsel (HITT), SMK, Team Trivsel, Læse og skrive vdanskeligheder",,,,,,,,,,,,
Den Nordjyske Teknologipagt,https://rn.dk/regional-udvikling/uddannelse-og-kompetence/teknologipagt,De potentielle STEM'er; Piger og kvinder i STEM; STEM-kompetencer målrettet nordjyske virksomheders behov; STEM-kompetencer til alle - potentielle temaer: ,3. januar 2025,,Piger i STEM ansøgt 2020 (Afslag),,,,x,x,,,,x,x,,x,
UVM puljer,https://www.uvm.dk/puljer-udbud-og-prisuddelinger/puljer/puljeoversigt,"Finansloven, nyhedsbrev og skal running kontrolleres for aktive opslag",,,,,,,,,,,,,,,,
UVM Rejsepulje til studieture til Færøerne og Grønland 2024-2026,https://www.uvm.dk/puljer-udbud-og-prisuddelinger/puljer/puljeoversigt/aktive-puljer/rejsepulje-til-studieture-til-faeroeerne-og-groenland-2024-2026,"FormålPuljens formål er at give tilskud til, at flere studieture på ungdomsuddannelserne går til Færøerne og Grønland, og skal dermed være med til at øge danske elevers kendskab til klima, teknologi, historie, kultur, sprog, sociale- og samfundsmæssige forhold og natur i de øvrige dele af rigsfællesskabet.",30. september 2024 kl. 13,28 elever se beløb i vejledningen,,,,,,,,,,,,,,
"UVM Pulje til investering i digitalt læringsudstyr, herunder avanceret digital læringsteknologi, hos AMU-udbyderne",https://www.uvm.dk/puljer-udbud-og-prisuddelinger/puljer/puljeoversigt/aktive-puljer/240906-pulje-til-investering-i-digitalt-laeringsudstyr--herunder-avanceret-digital-laeringsteknologi,,24. oktober 2024 klokken 13,"Der er i alt 13580000 - 27160000 kr. til fordeling i første ansøgningsrunde.",,,,,,,,,,x,,,,
Trepartsmidler Pulje til rekruttering og fastholdelse 18-25 årige,https://virk.dk/vejledning/aub/aub-fagligt-udvalg/#Pulje-til-rekruttering-og-fastholdelse-af-18-25-aarige,"Pulje til rekruttering og fastholdelse 18-25 årige. Der er tidligere bevilget midler til projekter inden for disse områder: 1. Kampagner målrettet erhvervsuddannelser, 2. Planlægning af læringsforløb, 3. Rekruttering af studenter", 15. november,Der er 5 mio. i puljen,,Elev-Ambassadørnetværk,x,,,,,,,x,,,,
Trepartsmidlerne - De faglige udvalg ,Eget notat: https://tc201512.sharepoint.com/:w:/r/sites/VidenogProjekter128/Delte%20dokumenter/Fonde/3%20partsmidler/Oversigt%20over%20faglige%20udvalg_Afklaring%20af%20trepartsflow.docx?d=wa47d8722de904bf58229978a14620bac&csf=1&web=1&e=aF6KlC,Det er de faglige udvalg der skal indstille projekterne,efterår Forskelligt afhængig af udvalget.  Fagligt udvalg kan indstilleindstille projekter for 2024-puljen fra 1. september 2024 til 1. december 2024.,,,,,,,,,,,,,,,
EU - Erasmus,https://erasmus-plus.ec.europa.eu/da/about-erasmus/what-is-erasmus,"Deltage i samarbejdsprojekter med institutioner i de europæiske lande. Muligheder med Erasmus+Erasmus+ tilbyder opholds- og samarbejdsmuligheder inden for videregående uddannelseerhvervsuddannelseskoleuddannelse, herunder førskoleundervisning og børnepasningvoksenuddannelseungeidræt",,o. 100.000,,,,,,,,,,,,,,
EU - INTERREG,,,,,,,,,,,,,,,,,,
Private fonde ,,,,,,,,,,,,,,,,,,
A.P. Møller Fonden,https://www.apmollerfonde.dk/saerligt-fokus-paa-erhvervsuddannelser/,"Det kan f.eks. ske ved at styrke fagligt interessante miljøer og uddannelser gennem nye ”flagskibe” såsom eksemplariske uddannelsesbyggerier, der gennem visionær nytænkning af de fysiske rammer bidrager til at styrke erhvervsuddannelsernes kvalitet og omdømme, evt. med anvendelse af helt ny teknologi samt nytænkte pædagogiske rammer.","running - Bestyrelsesmøder, datoer oplyses ikke. Tidligere ansøgt 9. august 2024",ukendt op mod 100 mio.,,,,,,,,,,,,x,,
Arbejdernes Landsbanks Fond,https://www.al-bank.dk/om-banken/bygger-paa-sunde-vaerdier/arbejdernes-landsbanks-fond,"Støtte til videreuddannelse eller efteruddannelse. Støtte til skoler, læreanstalter og andre institutioner mmed tilknytning til uddannelse generelt.",running,Begrænsede midler,,,,,,,,,,,,,,
Augustinus fonden,http://augustinusfonden.dk/projekter/#viden-og-uddannelse,Viden og uddannelse. Der er lavet forskellige forskningsprojekter,running,,,,,,,,,,,,,,,x
Bikubenfonden,https://www.bikubenfonden.dk/unge-paa-kanten,Unge på kanten - i alderen 13-30 år ramt af komplekse sociale problemer. Ønsker at styrke de unge i at mestre deres eget liv.,?,,,,,x,,,,,,,,,,
Boligfonden Kuben,https://www.boligfondenkuben.dk/,"Arbejder for fremme af godt håndværk og nytænkningen indenfor byggeri. Bakker op om projekter der skaber bæredygtige løsninger - økonomisk, miljømæssigt og socialt. Tre temaer: Videreførelse og udvikling af det gode håndværk: Det gode håndværk er med til at definere udviklingspotentialet for fremtidens byggeri. Innovative designløsninger er ikke noget værd, hvis håndværket, der skal skabe idéerne i praksis, ikke er på topniveau. 2: ",Kvartalsvise bestyrelsesmøder,,,,,,x,,,x,,,x,,,
Bygge-og anlægsbranchens Uddannelsesfond,https://www.bygud.dk/uddannelses-udviklingsfonde/,Måske mest støtte til individers efteruddannelse,,,,,,,,,,,,,,,,
CAC Fonden,https://www.cac.dk/om-os/cac-fonden/,"Aktieselskabet CARL CHRISTENSEN har siden 1967 været ejet af C.A.C. Fonden, der blev grundlagt af fabrikant Carl Christensen. C.A.C. Fonden er stiftet med det formål at yde støtte til danske samfundsgavnlige, kulturelle eller sociale formål. ",4 gange yearly,,,,,,,,,,,,,,,
Danfoss Uddannelsesfond,https://www.fonde.dk/fonde/Danfoss-Uddannelsesfond.aspx,"Legater tildeles lærlinge i Danfoss koncernen, der efter afsluttet uddannelse beslutter sig for at påbegynde en videreuddannelse ved et ingeniørstudium, og som har udmærket sig på særlig vis under uddannelses-forløbet hos Danfoss. Legater beløber sig til 75.000 kr. for en BA og kan eventuelt forlænges, hvis den studerende vælger at fortsætte på kandidatdelen. ",ukendt,,,,,,,,,,,,,,,
Det obelske familiefond,https://obel.com/nordjylland/,"Udvikling af Nordjylland og Aalborg - og mental sundhed og kunst. Det brede perspektiv er tiltrækning af arbejdskraft, beboere og besøgende til Nordjylland",running 3-6 mdrs. Svarfrist,o. 100.000,,,,,,,,,,,,,,
